Naive1,Naive2,Naive3,Cosine1,Cosine2,Cosine3,NLI1,NLI2,NLI3,FactScore1,FactScore2,FactScore3
0.0,0.8,0.8,1.0,1.0,1.0,0.3333333333333333,1.0,0.6000000000000001,0.4,0.96,0.7200000000000001
0.0,0.6,0.0,0.0,0.2,0.0,-1.0,-0.6,-1.0,-0.6,-0.19999999999999998,-0.6
0.35714285714285715,1.0,0.6428571428571429,0.6428571428571429,1.0,0.7857142857142857,0.3571428571428571,0.6000000000000001,0.4285714285714286,0.41428571428571426,0.76,0.5428571428571429
0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.5,0.9,0.7,0.65
0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.7777777777777777,0.4444444444444444,0.4444444444444444,0.8222222222222222,0.6222222222222222,0.5777777777777777
0.5714285714285714,0.0,1.0,0.7142857142857143,0.0,0.8571428571428571,0.0,-1.0,0.14285714285714285,0.2571428571428572,-0.6,0.45714285714285713
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.6,0.5,0.0,0.0,0.5,0.0,0.0,-0.25,0.08000000000000002,0.12,0.05000000000000002
0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.25,0.6666666666666666,0.2,0.35
0.14285714285714285,1.0,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,0.6000000000000001,0.19999999999999996,0.48571428571428565,0.76,0.52
0.2857142857142857,0.42857142857142855,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.08571428571428572,0.12
1.0,0.5333333333333333,0.6428571428571429,0.25,0.3333333333333333,0.42857142857142855,-0.25,-0.06666666666666665,0.2857142857142857,0.1,0.13333333333333336,0.3857142857142857
0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.3,0.0,0.0
0.23076923076923078,0.42857142857142855,0.21428571428571427,0.23076923076923078,0.5,0.5714285714285714,-0.3846153846153846,-0.3571428571428572,-0.5714285714285714,-0.1384615384615384,-0.02857142857142861,-0.18571428571428567
1.0,1.0,1.0,0.0,1.0,0.9875,-0.4,0.32499999999999996,0.32499999999999996,-0.03999999999999998,0.595,0.5925
0.0,0.3333333333333333,0.0,0.75,0.3333333333333333,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.30000000000000004,0.3333333333333333,0.3333333333333333
0.75,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.11111111111111112,0.11111111111111112
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8571428571428571,0.8571428571428571,0.75,1.0,1.0,0.25,0.5714285714285714,1.0,0.30000000000000004,0.7142857142857142,0.9714285714285714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666666,1.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.6,0.5,0.0
0.625,0.8,0.8,0.625,0.8,0.8,-0.375,0.0,0.0,0.025000000000000022,0.32000000000000006,0.32000000000000006
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-0.19999999999999996
0.5625,1.0,1.0,0.5,0.16666666666666666,0.2,-0.25,-0.5,-0.4,0.06250000000000003,-0.06666666666666665,2.7755575615628914e-17
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-0.19999999999999996
0.14285714285714285,0.75,0.6666666666666666,0.42857142857142855,0.75,0.4444444444444444,0.14285714285714285,0.75,0.6666666666666667,0.19999999999999998,0.75,0.6222222222222222
0.2857142857142857,0.6666666666666666,0.5555555555555556,0.2857142857142857,0.6666666666666666,0.6666666666666666,-0.14285714285714285,0.4444444444444444,0.2222222222222222,0.02857142857142858,0.5333333333333333,0.37777777777777777
0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,-0.16666666666666666,0.0,0.8333333333333334,0.03333333333333334,0.0,0.7666666666666666
0.0,0.2,0.0,0.3333333333333333,0.6,0.6,-0.6666666666666666,-0.6000000000000001,-1.0,-0.3333333333333333,-0.20000000000000004,-0.48
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.7333333333333334,0.7333333333333334
0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,-0.19999999999999996,-0.19999999999999996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-0.19999999999999996,0.0,-0.19999999999999996
0.5714285714285714,0.9090909090909091,0.8571428571428571,0.42857142857142855,0.8181818181818182,0.8571428571428571,-0.5714285714285714,-0.2727272727272727,0.14285714285714285,-0.1428571428571428,0.18181818181818185,0.42857142857142855
0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.75,0.5333333333333333,0.5333333333333333,0.75
0.0,1.0,0.875,0.5,1.0,1.0,0.5,1.0,1.0,0.4,1.0,0.975
